UserID,FeatureX,Country,FeatureY,Points,UserDate Year,UserDate Month,UserDate Day_of_week
ID_Z1HRUPOZ,0,ID_Q02,3,group 3,3,2,4
ID_7Q2YWQ4X,0,ID_HIXK,0,group 3,3,4,4
ID_YADQW5CO,0,ID_Q02,3,group 3,2,9,1
ID_TB3JNF1D,0,ID_NVM2,0,group 3,3,1,1
ID_GHH1KSLZ,0,ID_Q02,0,group 3,3,9,6
ID_ZV7JKRZQ,0,ID_Q02,3,group 3,2,6,5
ID_U81JO10D,0,ID_Q02,3,group 3,2,3,5
ID_3V923RDQ,0,ID_Q02,3,group 3,3,5,5
ID_SBI5ON8B,0,ID_66JY,0,group 3,3,10,4
ID_VPF4JJM7,0,ID_0NU5,0,group 3,3,2,5
ID_NPOZQAO5,0,ID_PLTE,1,group 3,3,5,2
ID_915PFDC6,0,ID_CXB1,1,group 3,2,6,5
ID_L8EUDUN1,0,ID_Q02,0,group 3,2,9,6
ID_XNJX2MIZ,0,ID_Q02,0,group 3,3,3,2
ID_6SKG4IFD,0,ID_GU74,0,group 3,3,2,7
ID_5X8P1AX6,0,ID_NVM2,0,group 3,2,9,7
ID_8MO3WWP1,0,ID_PLTE,0,group 3,2,7,6
ID_6IPZP4L3,0,ID_Q02,3,group 3,2,4,1
ID_NQ1DZSSE,0,ID_Q02,3,group 3,1,5,5
ID_5OXNLAEN,0,ID_Q02,3,group 3,1,5,5
ID_XZZ9F474,0,ID_CXB1,1,group 3,2,11,4
ID_U6VRNEXF,0,ID_Q02,3,group 3,1,6,1
ID_JQRYCCX8,0,ID_5OWN,0,group 3,2,11,1
ID_YFE7NUKZ,0,ID_Q02,3,group 3,2,1,5
ID_S0CMD63L,0,ID_Z8BI,0,group 3,2,9,5
ID_EI3CL7RF,0,ID_2GBE,0,group 3,3,1,2
ID_9QIZTOK6,0,ID_Q02,0,group 3,2,10,1
ID_AMITDL4F,1,ID_Q02,3,group 3,2,1,4
ID_BHJ2ZXCC,0,ID_Q02,0,group 3,2,9,5
ID_4FXU7O9G,0,ID_Q02,3,group 3,2,3,3
ID_WVYD3P46,0,ID_GU74,1,group 3,3,3,5
ID_BQF21MP2,0,ID_111K,0,group 3,3,3,7
ID_05Z6S5G4,0,ID_BAUQ,0,group 3,3,2,4
ID_F962518I,0,ID_Q02,3,group 3,2,4,3
ID_GCA82H4R,0,ID_Q02,3,group 3,1,11,7
ID_WBHADNL9,0,ID_Q02,3,group 3,2,2,1
ID_EC5T91FD,0,ID_Q02,3,group 3,2,6,4
ID_943BLBPP,0,ID_Q02,3,group 3,1,12,3
ID_GYGFTTC9,0,ID_Q02,3,group 3,1,11,1
ID_GGQ8ZUVQ,0,ID_Q02,3,group 3,2,4,7
ID_JSKV2D0D,0,ID_RAZW,1,group 3,3,1,3
ID_MKG5YWKL,0,ID_5OWN,0,group 3,3,4,1
ID_2ZZ7EQGI,0,ID_FC41,0,group 3,3,1,3
ID_QTK3HFMP,0,ID_2GBE,0,group 3,2,3,4
ID_77RO0ZHM,0,ID_Q02,3,group 3,1,8,1
ID_GEFJGS23,0,ID_Q02,0,group 3,3,11,1
ID_Z7QHXGIP,0,ID_OZ6F,0,group 3,3,2,1
ID_0H7H0UW8,0,ID_Q02,3,group 3,2,4,6
ID_WWDQ0RKN,0,ID_PLTE,0,group 3,2,8,6
ID_UQVCR656,0,ID_Q02,3,group 3,2,4,4
ID_6JDJRJ13,0,ID_NVM2,0,group 3,3,1,7
ID_GFJ5V3GV,0,ID_ZXLV,0,group 3,2,9,7
ID_7TH2BK6Q,0,ID_5OWN,1,group 3,1,5,3
ID_MP83LHHB,0,ID_Q02,3,group 3,2,2,2
ID_3PZINGWW,0,ID_HWRH,0,group 3,2,8,4
ID_KIJH28LO,0,ID_Q02,3,group 3,2,4,7
ID_X7EUUF37,0,ID_GU74,3,group 3,2,12,1
ID_DNZFC4A9,0,ID_FC41,3,group 3,2,2,1
ID_5CKH9UI8,0,ID_Q02,3,group 3,2,5,2
ID_SFDFNXY1,0,ID_Q02,3,group 3,2,5,1
ID_BFCVVQD8,0,ID_Q02,3,group 3,2,5,6
ID_ZPVV262N,0,ID_GU74,1,group 3,2,2,1
ID_GYMWYOQ4,0,ID_Q02,3,group 3,2,4,4
ID_88NKSBTA,0,ID_NVM2,0,group 3,2,11,3
ID_ODP6JR62,0,ID_5OWN,0,group 3,2,10,7
ID_SUD9FAXY,0,ID_NVM2,1,group 3,2,9,7
ID_LL9145GE,0,ID_Q02,3,group 3,1,12,6
ID_OBOW92PW,0,ID_Q02,3,group 3,1,5,2
ID_I6LFG9H3,0,ID_HWRH,0,group 3,1,5,7
ID_U0XT02IB,0,ID_HWRH,1,group 3,2,10,4
ID_JHX8HSTV,0,ID_NVM2,0,group 3,2,9,6
ID_H1MAWVZL,0,ID_HIXK,0,group 3,3,7,7
ID_VPKIWWIV,0,ID_ACV0,0,group 3,3,5,4
ID_TNISN0SP,0,ID_5OWN,1,group 3,3,4,2
ID_XZ3JA1DP,0,ID_CXB1,1,group 3,3,5,3
ID_P0SXW1AK,0,ID_Q02,0,group 3,2,10,5
ID_6A7UT1YJ,0,ID_5OWN,0,group 3,3,4,3
ID_AG31D77B,0,ID_Q02,3,group 3,1,7,7
ID_P4EOINNR,0,ID_Q02,3,group 3,2,11,6
ID_JNKWS3L2,0,ID_NVM2,0,group 3,2,12,2
ID_8ZY7H9ED,0,ID_0NU5,1,group 3,3,2,1
ID_31DGOX73,0,ID_5OWN,0,group 3,3,5,5
ID_V7D083BQ,0,ID_HWRH,1,group 3,3,7,5
ID_GLN3LC2C,0,ID_QUOO,0,group 3,3,4,7
ID_XIZGHPM3,0,ID_Q02,3,group 3,2,6,4
ID_7D07NOX0,0,ID_HWRH,0,group 3,2,10,2
ID_2IR82DYT,0,ID_Q02,3,group 3,1,11,7
ID_M0ITA20O,0,ID_Q02,3,group 3,1,11,6
ID_ZYMQYNQG,0,ID_QA2H,1,group 3,2,8,2
ID_8E6T86GB,0,ID_Q02,3,group 3,2,5,2
ID_WPBNSCIV,0,ID_CZ6Z,3,group 3,2,9,5
ID_HN1NQNYP,0,ID_Q02,3,group 3,1,5,6
ID_RRLWP6NI,0,ID_Q02,3,group 3,2,5,6
ID_A6DS2JYM,0,ID_Q02,3,group 3,3,3,6
ID_U2LIF2Q5,0,ID_5OWN,0,group 3,3,3,3
ID_U6WH5ALQ,0,ID_HWRH,0,group 3,3,6,7
ID_F4OTA3J3,0,ID_EYN3,1,group 3,3,2,5
ID_0RSDSCWQ,0,ID_NVM2,0,group 3,3,2,3
ID_M0YKWND6,0,ID_6RGX,0,group 3,3,3,3
ID_H0RRW2DB,0,ID_Q02,3,group 3,2,12,5
ID_O52R3UKU,0,ID_GU74,0,group 3,1,6,6
ID_P4XYRPDB,0,ID_TZX5,0,group 3,2,12,6
ID_4WYTYXGU,0,ID_Q02,3,group 3,2,3,1
ID_X3PU4SW7,0,ID_Q02,3,group 3,2,4,6
ID_A2YRE824,0,ID_NVM2,0,group 3,3,1,2
ID_10T0BZ60,1,ID_HIXK,0,group 3,2,9,4
ID_5FUY19GV,0,ID_CXB1,1,group 3,2,9,1
ID_16MR4TM9,0,ID_5U59,0,group 3,3,4,1
ID_LD2QS0KK,0,ID_NVM2,0,group 3,3,4,5
ID_XVACSSQI,0,ID_GU74,0,group 3,3,3,2
ID_EZLV0BUX,0,ID_N98T,0,group 3,2,10,7
ID_EWZBK855,0,ID_2GBE,3,group 3,3,3,4
ID_L8AJDQDL,0,ID_5OWN,0,group 3,3,3,4
ID_89LEHXBH,0,ID_CXB1,0,group 3,3,7,5
ID_Q07L0WH2,0,ID_GU74,0,group 3,3,3,6
ID_REPJS4OE,0,ID_GU74,0,group 3,3,2,1
ID_JMMLRNFF,0,ID_CXB1,1,group 3,2,3,1
ID_8TAOH6QG,0,ID_38MP,0,group 3,2,5,5
ID_KXAZWQSD,0,ID_Q02,3,group 3,1,7,6
ID_M8Z5T722,0,ID_5OWN,0,group 3,3,1,5
ID_OCN6VRBM,0,ID_NVM2,0,group 3,3,4,2
ID_06PE0GNV,0,ID_5OWN,0,group 3,3,9,7
ID_1F68GWBQ,0,ID_2GBE,0,group 3,2,10,4
ID_63SMD3CO,0,ID_GU74,1,group 3,3,2,1
ID_P61VEO9M,0,ID_NVM2,0,group 3,3,1,6
ID_SIIRL3TK,0,ID_INB3,0,group 3,2,10,3
ID_WI4OGQA6,0,ID_5OWN,0,group 3,3,3,2
ID_BVW189QX,0,ID_Q02,0,group 3,2,2,1
ID_THR43543,0,ID_Q02,3,group 3,2,3,3
ID_UL0Y3LR2,0,ID_PLTE,0,group 3,2,11,2
ID_SFDGYT5T,0,ID_Q02,3,group 3,2,3,5
ID_8QFXW64F,0,ID_GU74,0,group 3,1,4,7
ID_JL26EWHB,0,ID_NVM2,0,group 3,3,2,4
ID_ZY281A6X,0,ID_1ATT,1,group 3,3,11,4
ID_7GUHPZY3,0,ID_PLTE,0,group 3,3,4,2
ID_2EHL328I,0,ID_ZXLV,1,group 3,2,9,1
ID_YV9VS1TE,1,ID_FC41,1,group 3,2,3,2
ID_OWHUMARC,1,ID_GU74,0,group 3,3,2,2
ID_NIP302GC,0,ID_Q02,3,group 3,1,5,4
ID_QTRCUZ5J,0,ID_Q02,3,group 3,2,4,3
ID_BEQF95C7,0,ID_HWRH,0,group 3,3,7,5
ID_CG9GB6EH,0,ID_Q02,1,group 3,2,5,3
ID_05B8RJ48,0,ID_NVM2,0,group 3,3,1,4
ID_CRU5XCEJ,0,ID_Q02,3,group 3,2,4,6
ID_M5GPT0KH,0,ID_Q02,3,group 3,2,10,1
ID_FB92JMFA,0,ID_5OWN,0,group 3,3,3,4
ID_VI3XHPGZ,0,ID_GU74,0,group 3,2,12,7
ID_EI823MD7,0,ID_Q02,0,group 3,3,5,5
ID_IQ2LHHN9,0,ID_5OWN,0,group 3,3,4,1
ID_CWABESEZ,0,ID_5OWN,0,group 3,3,4,7
ID_IJT400XV,0,ID_Y8RA,0,group 3,3,5,1
ID_GY8BBHMA,0,ID_PLTE,1,group 3,3,6,3
ID_XM8X4S3F,0,ID_Q02,0,group 3,1,5,3
ID_LCBXXPF0,0,ID_6923,3,group 3,2,2,6
ID_Y4NRNTA6,0,ID_Q02,0,group 3,3,1,3
ID_KQM8CG8X,0,ID_Q02,3,group 3,2,1,1
ID_FNRUFM23,0,ID_Q02,3,group 3,2,3,7
ID_U3JA16I9,0,ID_U4GT,0,group 3,1,5,4
ID_YXJKQ6MY,0,ID_Z8BI,3,group 3,2,9,4
ID_GF4CVISV,0,ID_ZXLV,0,group 3,2,9,3
ID_8YGBH703,0,ID_5OWN,1,group 3,3,5,3
ID_NASKMQ05,0,ID_PLTE,1,group 3,3,3,7
ID_XDM0HXH7,0,ID_NVM2,1,group 3,3,7,7
ID_AWMUWQWD,0,ID_5OWN,0,group 3,3,4,2
ID_0FYZZBD8,0,ID_N98T,0,group 3,3,11,7
ID_H6MMK1LH,0,ID_Q02,3,group 3,2,1,6
ID_P8V6D3ZM,0,ID_Q02,3,group 3,2,1,2
ID_91D152OP,0,ID_Q02,1,group 3,3,1,4
ID_B2FB457H,0,ID_HWRH,0,group 3,3,6,7
ID_CTH7MY1D,0,ID_NVM2,0,group 3,3,1,7
ID_021JI9DB,0,ID_GU74,0,group 3,3,3,2
ID_K5EQFSIA,0,ID_HWRH,3,group 3,1,5,1
ID_9WCJ3R1J,0,ID_Q02,1,group 3,2,3,4
ID_DD3T85K4,0,ID_Q02,3,group 3,1,12,5
ID_1WFIEGHV,0,ID_Q02,3,group 3,2,4,2
ID_6YY8AN9Q,0,ID_Q02,3,group 3,1,6,4
ID_5LQRFDJ3,0,ID_5OWN,0,group 3,2,9,1
ID_WR3TELPH,0,ID_Q02,3,group 3,2,1,4
ID_7R07FF2Y,0,ID_Q02,3,group 3,2,3,1
ID_FSUGVDFQ,0,ID_Y4KK,1,group 3,3,6,5
ID_DYZX7FHR,0,ID_PLTE,0,group 3,3,6,6
ID_04E7T7KX,0,ID_PLTE,0,group 3,3,3,4
ID_40JONWSJ,0,ID_5OWN,0,group 3,3,6,5
ID_TRY69VDU,0,ID_NVM2,0,group 3,3,4,4
ID_XUSZP5AO,0,ID_ABPY,0,group 3,3,5,7
ID_7RG3XKE6,1,ID_HWRH,0,group 3,3,5,3
ID_88FFM952,0,ID_ZXLV,1,group 3,2,9,2
ID_SMDJ7HIS,0,ID_6P8R,0,group 3,3,7,5
ID_EDBV2UI8,0,ID_NVM2,1,group 3,2,4,1
ID_UGR0RHFW,0,ID_Q02,3,group 3,1,5,7
ID_2U7GFCJW,0,ID_5OWN,1,group 3,2,7,2
ID_1XUOLPSU,0,ID_Q02,0,group 3,2,12,5
ID_7EWL7SB4,0,ID_PLTE,0,group 3,2,10,1
ID_VX69NMDK,0,ID_CXB1,0,group 3,2,6,5
ID_SK4T2NRM,0,ID_Q02,3,group 3,2,2,1
ID_A8LOZ1LW,0,ID_5OWN,0,group 3,2,11,2
ID_6TR4JBPK,0,ID_Z8BI,0,group 3,2,9,4
ID_I08I10US,0,ID_ZXLV,0,group 3,2,10,2
ID_JGFW8S0C,0,ID_Q02,0,group 3,3,1,6
ID_CU6PL0OZ,0,ID_XX6B,0,group 3,3,1,1
ID_YJP5OKNS,0,ID_Q02,3,group 3,2,5,3
ID_GG9QJPPA,0,ID_NVM2,0,group 3,2,12,2
ID_2YM04HPP,0,ID_Q02,3,group 3,2,1,1
ID_IFBXIPDL,0,ID_Q02,3,group 3,2,4,3
ID_VPFFYB48,0,ID_Q02,3,group 3,1,5,3
ID_PHDC4WS6,0,ID_ZXLV,0,group 3,2,9,7
ID_ARXA3WST,0,ID_GU74,1,group 3,2,7,6
ID_2BSV9LWA,0,ID_YIPK,0,group 3,2,9,2
ID_CR5HBAS8,0,ID_Q02,3,group 3,2,2,1
ID_9WQAM6AU,0,ID_0NU5,1,group 3,3,2,2
ID_0203P1HT,0,ID_0NU5,1,group 3,3,2,6
ID_LFF76FQS,0,ID_CXB1,0,group 3,2,6,5
ID_D5OPAWBM,0,ID_Y8RA,0,group 3,3,3,5
ID_UCTK433M,0,ID_Q02,3,group 3,2,5,1
ID_YRMUYSO3,1,ID_5OWN,1,group 3,3,4,1
ID_0Y1C0LJ4,0,ID_HIN5,0,group 3,3,2,2
ID_9DV2WODL,0,ID_2GBE,0,group 3,3,5,3
ID_9RBZGXP6,0,ID_GU74,0,group 3,3,4,7
ID_DEBVJ9V5,1,ID_0NU5,1,group 3,3,2,7
ID_WS6QDGXH,0,ID_Q02,3,group 3,1,8,6
ID_PWR28D3A,0,ID_Q02,3,group 3,2,4,1
ID_4U26TMV5,0,ID_Q02,3,group 3,2,4,3
ID_41995CMI,0,ID_Q02,3,group 3,1,11,1
ID_4W0IZOQ5,0,ID_Q02,3,group 3,2,5,3
ID_O9CHUBYP,0,ID_ZXLV,0,group 3,2,9,4
ID_LMSBHDGF,0,ID_Q02,3,group 3,2,2,1
ID_91KW011V,0,ID_5OWN,1,group 3,3,4,4
ID_HQ6MJ78E,0,ID_Q02,3,group 3,2,3,5
ID_9507QI7F,0,ID_NVM2,0,group 3,2,10,4
ID_LOVAEOY2,0,ID_Q02,0,group 3,3,1,7
ID_BV6THNOM,0,ID_0NU5,1,group 3,2,3,2
ID_R90EK2DE,0,ID_K86O,0,group 3,2,9,5
ID_0AOD0QJD,0,ID_HWRH,0,group 3,3,2,1
ID_C2K59VTD,0,ID_HIXK,0,group 3,3,4,5
ID_F9STPL50,0,ID_5OWN,0,group 3,3,4,3
ID_1Z2QSJLC,0,ID_5OWN,0,group 3,3,5,4
ID_LK3W3LKO,0,ID_2GBE,1,group 3,3,2,2
ID_USDM6DD3,0,ID_ZXLV,1,group 3,3,2,3
ID_WFES9AF6,0,ID_GU74,1,group 3,3,3,4
ID_K3T4HP7I,0,ID_WVNE,0,group 3,3,4,7
ID_7VML9IAS,0,ID_NVM2,0,group 3,3,4,5
ID_M2J3Q189,0,ID_OS8P,0,group 3,3,7,7
ID_W9OFKEJY,0,ID_Q02,3,group 3,2,2,2
ID_BK60MT1E,0,ID_Q02,0,group 3,2,4,3
ID_2RPEXF6M,0,ID_Q02,3,group 3,2,3,7
ID_0K43LAMU,0,ID_5OWN,0,group 3,2,10,1
ID_1G2GXZUX,0,ID_Q02,3,group 3,2,1,4
ID_6D8TSB8Z,0,ID_Q02,3,group 3,2,6,2
ID_0MZ6KQN4,0,ID_Q02,3,group 3,2,1,7
ID_IBC965II,0,ID_Q02,3,group 3,2,4,6
ID_KO9QB7AO,0,ID_Q02,3,group 3,2,2,1
ID_44EUUUXR,0,ID_Q02,3,group 3,1,7,4
ID_A05DE86K,0,ID_Z8BI,0,group 3,2,8,7
ID_KMQGVV8T,1,ID_ACV0,1,group 3,2,11,6
ID_IWWKEUYS,0,ID_Q02,3,group 3,2,6,7
ID_AY7TR18C,0,ID_GU74,0,group 3,2,11,4
ID_7SX5IHQ3,0,ID_Q02,3,group 3,2,3,5
ID_JI55IWKX,0,ID_Q02,0,group 3,2,10,2
ID_JX9J65Y3,0,ID_Q02,3,group 3,2,4,1
ID_977R049R,0,ID_Q02,3,group 3,2,2,1
ID_P6Q8CNYL,0,ID_Q02,3,group 3,2,3,2
ID_16OKB5ED,0,ID_Q02,3,group 3,2,3,6
ID_4O1ICI7O,0,ID_NVM2,1,group 3,3,1,5
ID_CMUQFFR8,0,ID_GU74,0,group 3,2,3,4
ID_A88FBV9G,0,ID_Q02,3,group 3,2,6,4
ID_HQAYNWJ5,0,ID_Q02,0,group 3,1,5,5
ID_RHDCB7PI,0,ID_PLTE,1,group 3,3,5,2
ID_SINBRSU4,0,ID_Q02,3,group 3,3,2,4
ID_TKGBIOG8,0,ID_Q02,1,group 3,3,3,7
ID_PS2KBAQ2,0,ID_Q02,3,group 3,1,4,7
ID_RHGO248K,0,ID_OZ6F,0,group 3,2,10,3
ID_SS8A75Y7,0,ID_HIN5,0,group 3,3,5,6
ID_Y7TRKN04,0,ID_5OWN,1,group 3,3,3,1
ID_IKI3U382,0,ID_TZX5,1,group 3,2,12,2
ID_B92RQGM2,0,ID_Q02,3,group 3,2,6,3
ID_NKOBWZ40,0,ID_CXB1,0,group 3,2,11,5
ID_XYDF9TDN,0,ID_CXB1,0,group 3,2,9,7
ID_XW0VH301,0,ID_111K,0,group 3,2,9,7
ID_VG7GHGCP,0,ID_Q02,3,group 3,2,7,2
ID_6Z1051KN,0,ID_Y8RA,0,group 3,3,3,2
ID_BHDVPF34,0,ID_Q02,3,group 3,2,2,1
ID_936PSQ48,0,ID_NVM2,0,group 3,2,10,1
ID_UCXK2WIH,0,ID_NVM2,0,group 3,2,9,1
ID_8CMOZ403,0,ID_PLTE,0,group 3,3,1,1
ID_WLYAPBL4,0,ID_Q02,3,group 3,1,11,5
ID_YA75KP42,0,ID_5OWN,1,group 3,3,3,4
ID_HPZAR43K,0,ID_Q02,0,group 3,3,1,5
ID_R207CXDS,0,ID_5OWN,1,group 3,2,8,3
ID_W9SYJY4M,0,ID_Q02,3,group 3,2,5,5
ID_HTANRJ2F,0,ID_Q02,3,group 3,1,10,4
ID_W99IC6U0,0,ID_Q02,3,group 3,2,4,5
ID_IR8GJT2G,0,ID_Q02,3,group 3,2,4,2
ID_1R511T9T,0,ID_Q02,3,group 3,1,8,2
ID_DWT3EB79,0,ID_GU74,3,group 3,3,2,5
ID_NX1D7WTE,0,ID_Q02,3,group 3,2,4,6
ID_PQYZCWFH,0,ID_NVM2,0,group 3,3,2,4
ID_559M61RW,0,ID_Y8RA,0,group 3,3,6,3
ID_5WLVOTE6,0,ID_5OWN,1,group 3,3,4,3
ID_V5GWCXBY,0,ID_CXB1,3,group 3,2,11,7
ID_WO4NY8UK,0,ID_Q02,3,group 3,2,4,2
ID_84VLVGGU,0,ID_Q02,3,group 3,2,1,7
ID_22BGWAXB,0,ID_ARVG,0,group 3,2,3,4
ID_2L2MCP7L,0,ID_NVM2,0,group 3,2,12,7
ID_B1472DXE,0,ID_Q02,3,group 3,2,1,3
ID_QQ664YF7,0,ID_K86O,0,group 3,2,9,3
ID_9QSZFARG,0,ID_Q02,3,group 3,2,2,1
ID_EQBLUKJ1,0,ID_Q02,3,group 3,2,4,7
ID_1BO6KI9G,0,ID_A5LV,0,group 3,2,9,1
ID_EVAAVRZP,0,ID_Q02,3,group 3,2,4,6
ID_7UB3FWMD,0,ID_Q02,3,group 3,2,3,7
ID_Z38VJZTW,0,ID_QF70,1,group 3,2,9,5
ID_LMW3PR1P,0,ID_5OWN,1,group 3,2,9,5
ID_AXAS4E8U,0,ID_Q02,3,group 3,2,1,1
ID_X5YP92SJ,0,ID_Q02,3,group 3,2,1,7
ID_2011WZ0O,0,ID_Q02,3,group 3,2,2,1
ID_G6FDUWNX,0,ID_EYN3,1,group 3,3,2,5
ID_PSOMS1EA,0,ID_CXB1,1,group 3,3,8,2
ID_AL0J80Q6,0,ID_GU74,0,group 3,3,2,2
ID_Y20GJGHV,0,ID_Q02,3,group 3,2,3,5
ID_ST1N5276,0,ID_Q02,1,group 3,3,3,2
ID_4FPKOED0,0,ID_VLOE,1,group 3,3,3,1
ID_FQGP6CAD,0,ID_Q02,3,group 3,3,1,7
ID_SFBO03E0,0,ID_Q02,3,group 3,1,5,1
ID_X1I0Q77J,0,ID_Q02,3,group 3,2,6,4
ID_PJX4UUNZ,0,ID_Q02,3,group 3,2,3,1
ID_PSKOY3YS,0,ID_Q02,3,group 3,2,1,1
ID_9B2S7BMM,0,ID_CXB1,1,group 3,3,7,4
ID_SOWDH0LG,0,ID_BAUQ,0,group 3,3,2,4
ID_DY1W5010,0,ID_ZXLV,0,group 3,2,8,6
ID_OY29VA5S,0,ID_Q02,3,group 3,1,5,4
ID_IZ81Y1UW,0,ID_NVM2,0,group 3,2,12,5
ID_CYT765Y5,1,ID_NVM2,0,group 4,2,12,6
ID_WKFYAZ5H,0,ID_Q02,3,group 3,2,4,7
ID_8GFH8EX8,0,ID_NVM2,0,group 3,3,3,5
ID_S7S5THPB,0,ID_HIXK,0,group 3,3,7,4
ID_5G6EK4UD,0,ID_NVM2,0,group 3,3,2,6
ID_F7T75VMN,0,ID_CXB1,0,group 3,2,8,7
ID_W8XXP6PG,0,ID_NVM2,0,group 3,2,12,6
ID_RG268EYU,0,ID_Z8BI,0,group 3,3,5,5
ID_2BBGBNLU,0,ID_GU74,3,group 3,2,4,2
ID_KQZ4CKQE,0,ID_Q02,3,group 3,1,5,4
ID_7Z67NH45,0,ID_Q02,1,group 3,3,2,2
ID_WSTLFPOS,0,ID_Q02,3,group 3,3,6,3
ID_52LMVCAF,0,ID_5OWN,0,group 3,2,11,4
ID_3SJD2M9C,0,ID_Q02,3,group 3,2,6,3
ID_4SN469OF,0,ID_NVM2,0,group 3,3,1,1
ID_4POSU5DU,0,ID_NVM2,0,group 3,2,12,3
ID_3KYX9T86,0,ID_Q02,3,group 3,2,1,3
ID_SXMVWDH1,0,ID_5OWN,0,group 3,3,3,3
ID_9ZYUV486,0,ID_HIXK,0,group 3,3,8,2
