FeatureF,DiscDate Year,DiscDate Month,DiscDate Day_of_week,DiscID,UserID
1,3,3,7,ID_PTEWEK,ID_OZTCVTQP
1,3,3,3,ID_7JR5IW,ID_OZTCVTQP
1,3,3,1,ID_2HWO70,ID_OZTCVTQP
1,3,3,3,ID_9TA8FT,ID_OZTCVTQP
1,3,3,3,ID_NGGV17,ID_OZTCVTQP
1,3,3,3,ID_WZ99CK,ID_OZTCVTQP
1,3,3,3,ID_LEAP3P,ID_OZTCVTQP
1,3,3,3,ID_KU4ZZE,ID_OZTCVTQP
0,3,3,5,ID_TAHOMW,ID_OZTCVTQP
0,2,12,4,ID_D1PQVE,ID_OZTCVTQP
0,1,12,3,ID_2VG3SC,ID_OZTCVTQP
0,3,2,3,ID_3SV2QZ,ID_OZTCVTQP
1,3,5,6,ID_5ZJQLG,ID_OZTCVTQP
1,3,5,6,ID_SAO4G4,ID_OZTCVTQP
0,2,12,4,ID_3OBJ3E,ID_OZTCVTQP
0,3,9,5,ID_TD7DZH,ID_OZTCVTQP
0,3,9,5,ID_17UG6V,ID_OZTCVTQP
0,3,9,5,ID_F6OBDH,ID_OZTCVTQP
1,3,5,6,ID_REZCQU,ID_OZTCVTQP
0,2,12,4,ID_D2OKMM,ID_OZTCVTQP
1,3,5,6,ID_YZ55SQ,ID_OZTCVTQP
1,3,5,6,ID_B1MSYO,ID_OZTCVTQP
1,3,5,6,ID_XVSTWN,ID_OZTCVTQP
1,3,5,6,ID_Q9RVUQ,ID_OZTCVTQP
1,3,5,6,ID_UG3OB7,ID_OZTCVTQP
1,3,5,6,ID_NECAVL,ID_OZTCVTQP
1,3,5,6,ID_2P6954,ID_OZTCVTQP
1,3,5,6,ID_2X22KF,ID_OZTCVTQP
1,3,5,6,ID_HTKQL1,ID_OZTCVTQP
1,3,5,6,ID_GFC1WO,ID_OZTCVTQP
1,3,5,6,ID_X2C7M8,ID_OZTCVTQP
1,3,5,6,ID_W2CIB5,ID_OZTCVTQP
1,3,5,6,ID_VZEVOL,ID_OZTCVTQP
1,3,5,6,ID_K1RGKO,ID_OZTCVTQP
1,3,5,6,ID_SALCSB,ID_OZTCVTQP
1,3,5,6,ID_A4CK09,ID_OZTCVTQP
1,3,5,6,ID_RR1OVM,ID_OZTCVTQP
1,3,5,6,ID_4MININ,ID_OZTCVTQP
1,3,5,6,ID_9QMFB9,ID_OZTCVTQP
1,3,5,6,ID_CW5Y2W,ID_OZTCVTQP
1,3,5,6,ID_EWTAV9,ID_OZTCVTQP
1,3,5,6,ID_WVFQRA,ID_OZTCVTQP
1,3,5,6,ID_1DZVHJ,ID_OZTCVTQP
1,3,5,6,ID_NRLK9R,ID_OZTCVTQP
1,3,5,6,ID_6H2R9N,ID_OZTCVTQP
1,3,5,6,ID_PGIX7R,ID_OZTCVTQP
1,3,5,6,ID_KZOYVC,ID_OZTCVTQP
1,3,5,6,ID_3Z8EUV,ID_OZTCVTQP
1,3,7,5,ID_HKMU6A,ID_0XJHIAQM
1,3,1,6,ID_27RLGV,ID_0XJHIAQM
0,3,5,2,ID_QVOY3E,ID_0XJHIAQM
1,3,12,5,ID_R85TD8,ID_X6TTDUUG
1,3,12,5,ID_IU5P5K,ID_X6TTDUUG
0,3,12,5,ID_18V7FE,ID_X6TTDUUG
1,3,3,3,ID_74F7GE,ID_29FH6HS1
1,3,11,1,ID_1WYUYB,ID_29FH6HS1
1,3,11,1,ID_PRV1YW,ID_29FH6HS1
1,3,3,6,ID_8I0505,ID_29FH6HS1
1,3,5,4,ID_R7RCBP,ID_29FH6HS1
0,3,5,6,ID_ALY58I,ID_29FH6HS1
1,3,7,7,ID_QWNTU7,ID_29FH6HS1
1,3,11,1,ID_KKJHWB,ID_29FH6HS1
1,3,11,1,ID_LOPB9I,ID_29FH6HS1
1,3,11,1,ID_SGOXBD,ID_29FH6HS1
1,3,8,4,ID_ZL5P72,ID_29FH6HS1
1,3,12,7,ID_K11RQG,ID_29FH6HS1
1,3,12,7,ID_VF8S1Y,ID_29FH6HS1
1,3,11,4,ID_IV6JBM,ID_29FH6HS1
1,3,12,3,ID_4CXKCZ,ID_29FH6HS1
1,3,12,3,ID_CNYTUL,ID_29FH6HS1
1,3,12,3,ID_M3ANAY,ID_29FH6HS1
1,3,12,3,ID_RX4KQ1,ID_29FH6HS1
1,3,8,2,ID_K7FBKD,ID_29FH6HS1
1,3,8,2,ID_YB4G5T,ID_29FH6HS1
1,3,4,2,ID_KC0TUG,ID_29FH6HS1
1,3,4,3,ID_ZZE4CB,ID_29FH6HS1
1,3,8,2,ID_QHMV7I,ID_29FH6HS1
1,3,11,4,ID_TFBQDZ,ID_29FH6HS1
0,2,9,7,ID_CYZQDM,ID_29FH6HS1
0,2,10,4,ID_6QAUJK,ID_29FH6HS1
0,2,12,1,ID_7G5N5A,ID_29FH6HS1
1,3,8,2,ID_964HG8,ID_29FH6HS1
0,3,2,7,ID_HO3K7P,ID_29FH6HS1
1,3,1,3,ID_Z8CBZD,ID_29FH6HS1
1,3,7,5,ID_0G0IDW,ID_29FH6HS1
1,3,7,5,ID_UJHSV6,ID_29FH6HS1
1,3,7,5,ID_3B9XRX,ID_29FH6HS1
1,3,4,7,ID_ORZXYG,ID_29FH6HS1
1,3,3,2,ID_OFJQF4,ID_29FH6HS1
1,3,3,3,ID_YLK8OO,ID_29FH6HS1
0,3,1,6,ID_E0ZX61,ID_29FH6HS1
1,3,3,4,ID_P4LRK7,ID_29FH6HS1
0,2,5,5,ID_PW519F,ID_29FH6HS1
0,2,4,6,ID_GD0T64,ID_29FH6HS1
1,3,3,4,ID_M883VE,ID_29FH6HS1
1,3,3,4,ID_2P1WEU,ID_29FH6HS1
0,2,8,3,ID_8WQVA9,ID_29FH6HS1
0,2,10,2,ID_IA2HQI,ID_29FH6HS1
1,3,4,3,ID_L44QJ5,ID_29FH6HS1
0,2,11,7,ID_X4329G,ID_29FH6HS1
0,2,10,1,ID_SONSZR,ID_29FH6HS1
0,2,10,7,ID_38VFWH,ID_29FH6HS1
1,3,2,4,ID_UIWJFS,ID_29FH6HS1
1,3,2,4,ID_LGDM1X,ID_29FH6HS1
0,2,12,6,ID_OMUVXQ,ID_29FH6HS1
1,3,5,6,ID_JIKQWL,ID_29FH6HS1
0,2,12,6,ID_2GBBMD,ID_29FH6HS1
1,3,5,6,ID_WAUO3J,ID_29FH6HS1
1,3,5,1,ID_SLZQ38,ID_29FH6HS1
1,3,2,4,ID_3MZCTY,ID_29FH6HS1
1,3,4,2,ID_5AD8JS,ID_29FH6HS1
1,3,5,1,ID_QB0BZP,ID_29FH6HS1
1,3,3,5,ID_CMXYWK,ID_29FH6HS1
1,3,4,4,ID_PLS4WX,ID_29FH6HS1
1,3,4,7,ID_TEXN0B,ID_29FH6HS1
1,3,4,3,ID_J4A3OC,ID_29FH6HS1
1,3,5,1,ID_HDPF9Z,ID_29FH6HS1
1,3,5,1,ID_0C6FCX,ID_29FH6HS1
0,3,4,1,ID_0IIM8G,ID_29FH6HS1
1,3,4,4,ID_V51AEZ,ID_29FH6HS1
1,3,5,2,ID_T32WND,ID_29FH6HS1
1,3,5,5,ID_6G8BT1,ID_29FH6HS1
1,3,5,5,ID_5NEKXR,ID_29FH6HS1
1,3,5,1,ID_7XC1AW,ID_29FH6HS1
1,3,5,1,ID_6M7689,ID_29FH6HS1
1,3,5,2,ID_IRMO84,ID_29FH6HS1
1,3,6,4,ID_GNE1GP,ID_29FH6HS1
0,3,6,3,ID_SG21EH,ID_29FH6HS1
0,3,6,3,ID_LKT3C3,ID_29FH6HS1
1,3,2,7,ID_MDWUUW,ID_DCPXRXBE
0,3,4,2,ID_KMEPOY,ID_DCPXRXBE
1,3,12,3,ID_0LZXOC,ID_QL884W2O
1,3,5,3,ID_YTO3WB,ID_QL884W2O
1,3,12,3,ID_MXXADS,ID_QL884W2O
1,3,12,4,ID_R40L6Y,ID_QL884W2O
1,3,5,3,ID_TQP81V,ID_QL884W2O
1,3,5,3,ID_C8N40Q,ID_QL884W2O
1,3,5,4,ID_84IGTT,ID_QL884W2O
1,3,4,7,ID_ZDRIJ3,ID_QL884W2O
1,3,9,3,ID_N9G3UH,ID_5I8XC014
1,3,4,7,ID_5TSPHR,ID_97IOCHGI
1,3,10,7,ID_T93OWN,ID_54U0T8JU
1,3,8,1,ID_MDORMD,ID_P2LKW12H
1,3,6,5,ID_IPPCT7,ID_4T2A93TT
1,3,6,1,ID_YZCFKK,ID_4T2A93TT
1,3,6,1,ID_72JFUB,ID_4T2A93TT
1,3,6,1,ID_2IL6IQ,ID_4T2A93TT
1,3,6,1,ID_E9L7HA,ID_4T2A93TT
1,3,6,1,ID_WBKRW8,ID_4T2A93TT
1,3,7,3,ID_GBN9VX,ID_4T2A93TT
1,3,7,3,ID_DL5V3Z,ID_4T2A93TT
1,3,6,1,ID_T1HJF7,ID_4T2A93TT
1,3,9,4,ID_QS4W24,ID_VC0PF33W
1,3,9,5,ID_2Q6M5S,ID_VC0PF33W
1,3,11,4,ID_KYQLCF,ID_VC0PF33W
0,3,3,4,ID_R8JONE,ID_VC0PF33W
0,3,12,2,ID_647ZLW,ID_VC0PF33W
0,3,10,6,ID_ST84CM,ID_VC0PF33W
0,2,4,3,ID_SDJRFA,ID_VC0PF33W
1,3,6,7,ID_VDRLXX,ID_VC0PF33W
1,3,2,7,ID_UQPGJ6,ID_VC0PF33W
1,3,1,1,ID_ABRAJN,ID_VC0PF33W
1,3,1,1,ID_OT1F6U,ID_VC0PF33W
1,3,6,4,ID_O6QI0I,ID_VC0PF33W
1,3,1,3,ID_JGQ2HL,ID_XS76JX19
0,3,4,1,ID_NWB7UQ,ID_XS76JX19
1,3,2,4,ID_A0XAPQ,ID_J51KQHAW
0,3,2,4,ID_M3HM6G,ID_J51KQHAW
0,2,11,4,ID_ES0DU4,ID_HG7P2YOJ
1,3,11,3,ID_WY92TE,ID_8EKKVQXN
0,3,11,3,ID_32PJK4,ID_8EKKVQXN
1,3,2,6,ID_F6T4H5,ID_8EKKVQXN
1,3,2,6,ID_Y6HFCS,ID_8EKKVQXN
0,3,5,5,ID_WSR3JH,ID_TQRUO6Z7
0,2,4,3,ID_DSIO30,ID_3EQLWWCY
0,3,1,4,ID_WATKOX,ID_3EQLWWCY
1,3,4,1,ID_3GN4QQ,ID_3EQLWWCY
0,3,1,4,ID_N8EIE1,ID_3EQLWWCY
0,2,4,2,ID_WZNPCI,ID_3EQLWWCY
1,3,10,7,ID_M0V47U,ID_OYOSDBZC
1,3,10,7,ID_7XJBWO,ID_OYOSDBZC
1,3,10,7,ID_P61Z24,ID_OYOSDBZC
0,3,11,7,ID_PT12IP,ID_EZ308VNW
1,3,11,2,ID_Y0EFFL,ID_EZ308VNW
1,3,11,2,ID_HLFCWK,ID_EZ308VNW
1,3,11,2,ID_H74DIF,ID_EZ308VNW
0,3,11,5,ID_JJPRKX,ID_KBRFRAR9
1,3,3,5,ID_P3ZWMK,ID_KBRFRAR9
0,2,11,7,ID_LEX5NN,ID_KBRFRAR9
0,3,4,2,ID_Z3OS48,ID_KBRFRAR9
0,3,12,2,ID_GJEJLX,ID_KBRFRAR9
0,3,9,5,ID_D3RHSB,ID_KBRFRAR9
0,3,6,4,ID_NIB3MN,ID_KBRFRAR9
0,3,4,6,ID_ZL4NHW,ID_KBRFRAR9
0,3,11,4,ID_8P6MWW,ID_KBRFRAR9
0,2,11,6,ID_7H6K6M,ID_KBRFRAR9
0,2,11,4,ID_Z2ZQ1N,ID_KBRFRAR9
0,3,1,6,ID_2F8FUM,ID_KBRFRAR9
0,3,1,7,ID_GNGQNG,ID_KBRFRAR9
0,3,2,7,ID_LGCXPK,ID_KBRFRAR9
1,3,3,5,ID_1BK2LO,ID_KBRFRAR9
0,3,6,1,ID_8DXO2S,ID_KBRFRAR9
0,3,6,5,ID_BTI4AL,ID_KBRFRAR9
0,3,4,3,ID_IIURS6,ID_KBRFRAR9
0,3,6,1,ID_ZWND6X,ID_KBRFRAR9
0,3,2,7,ID_5Z60Z2,ID_KBRFRAR9
0,3,2,2,ID_RBI00M,ID_KBRFRAR9
0,2,11,5,ID_SPNV3N,ID_KBRFRAR9
1,3,3,5,ID_TH9WI9,ID_KBRFRAR9
0,2,12,1,ID_TAUD76,ID_KBRFRAR9
0,2,12,5,ID_QPGXWT,ID_KBRFRAR9
1,3,1,4,ID_NOWOIT,ID_KBRFRAR9
1,3,1,1,ID_IPE24O,ID_KBRFRAR9
0,3,2,5,ID_ECUOK0,ID_KBRFRAR9
0,3,4,1,ID_WIVZF3,ID_KBRFRAR9
0,3,4,6,ID_0PN9WH,ID_KBRFRAR9
0,3,4,7,ID_Y7F160,ID_KBRFRAR9
0,3,5,7,ID_LHZ0ZT,ID_KBRFRAR9
0,3,3,7,ID_WOFKAW,ID_KBRFRAR9
0,3,6,5,ID_DSMH9O,ID_KBRFRAR9
1,3,11,2,ID_UAHFJ9,ID_1F0S8N4A
0,3,3,1,ID_6KPLO4,ID_XGHA96QN
0,3,10,1,ID_94NNXS,ID_XGHA96QN
0,2,11,1,ID_03N373,ID_XGHA96QN
0,3,3,2,ID_YYNQ7L,ID_XGHA96QN
1,3,1,7,ID_WXQP0O,ID_XGHA96QN
0,3,10,3,ID_04Y45K,ID_XGHA96QN
0,3,11,5,ID_CMEHGD,ID_XGHA96QN
0,3,10,3,ID_3OYRMY,ID_XGHA96QN
0,3,11,4,ID_2B20LY,ID_XGHA96QN
0,1,6,1,ID_JTGTGA,ID_XGHA96QN
0,1,12,1,ID_YGTPOE,ID_XGHA96QN
0,1,12,4,ID_AYBI50,ID_XGHA96QN
0,1,12,7,ID_2PW8UN,ID_XGHA96QN
0,2,2,7,ID_SHLKEU,ID_XGHA96QN
0,2,3,7,ID_GJMJR1,ID_XGHA96QN
0,2,8,1,ID_OME6NK,ID_XGHA96QN
0,1,4,4,ID_T4KDZQ,ID_XGHA96QN
0,3,5,3,ID_EG5L9Q,ID_XGHA96QN
0,2,11,3,ID_JQBYCL,ID_XGHA96QN
0,3,9,2,ID_1LCCAJ,ID_XGHA96QN
0,3,10,2,ID_AK0LW8,ID_XGHA96QN
0,2,3,7,ID_Y1WXTI,ID_XGHA96QN
0,3,5,5,ID_AQ02OH,ID_XGHA96QN
0,3,10,5,ID_3JIR9E,ID_XGHA96QN
0,3,3,7,ID_WBT059,ID_XGHA96QN
0,3,3,7,ID_DD4K8M,ID_XGHA96QN
0,3,11,3,ID_9QN6QZ,ID_XGHA96QN
0,3,11,3,ID_06YV3A,ID_XGHA96QN
0,3,9,1,ID_A3JTJX,ID_XGHA96QN
0,3,4,4,ID_H2ED8W,ID_XGHA96QN
0,2,11,1,ID_LDO4AG,ID_XGHA96QN
0,3,12,4,ID_P31PHP,ID_XGHA96QN
0,2,11,1,ID_CZSN5U,ID_XGHA96QN
0,3,4,2,ID_MT7ZTG,ID_XGHA96QN
0,3,9,1,ID_DQ8ZRI,ID_XGHA96QN
0,3,10,1,ID_AC5VQG,ID_XGHA96QN
0,3,10,1,ID_WXQV6P,ID_XGHA96QN
0,3,10,3,ID_VUE2TA,ID_XGHA96QN
0,3,4,1,ID_07SKO9,ID_XGHA96QN
0,3,10,3,ID_0FP2S5,ID_XGHA96QN
0,3,10,3,ID_MKXXMG,ID_XGHA96QN
0,3,10,3,ID_AZG95R,ID_XGHA96QN
0,3,10,3,ID_MMQOER,ID_XGHA96QN
0,2,12,3,ID_MAFN1U,ID_XGHA96QN
0,3,10,5,ID_SZ7ZQ6,ID_XGHA96QN
0,3,10,5,ID_VKSUSN,ID_XGHA96QN
0,3,10,5,ID_8C0E4K,ID_XGHA96QN
0,1,4,4,ID_2HQ9MX,ID_XGHA96QN
0,1,4,7,ID_JG0G41,ID_XGHA96QN
0,1,5,2,ID_VSTG46,ID_XGHA96QN
0,1,6,6,ID_R5KZB7,ID_XGHA96QN
0,1,6,6,ID_J5GRSU,ID_XGHA96QN
0,1,6,6,ID_C4MAJP,ID_XGHA96QN
0,1,6,2,ID_W5I3VS,ID_XGHA96QN
0,1,7,3,ID_43I791,ID_XGHA96QN
0,1,7,3,ID_50N7DD,ID_XGHA96QN
0,1,8,2,ID_G2P4Y3,ID_XGHA96QN
0,2,10,4,ID_EDKQDM,ID_XGHA96QN
0,1,9,4,ID_2BVQ8M,ID_XGHA96QN
0,1,10,2,ID_GWVW73,ID_XGHA96QN
0,1,10,2,ID_76K932,ID_XGHA96QN
0,1,10,2,ID_LXM7M0,ID_XGHA96QN
0,1,11,3,ID_V7MYB3,ID_XGHA96QN
0,2,8,7,ID_WQGTI1,ID_XGHA96QN
0,2,1,4,ID_GQ267G,ID_XGHA96QN
0,2,1,3,ID_XIDBZL,ID_XGHA96QN
0,2,1,7,ID_R947C6,ID_XGHA96QN
0,2,1,3,ID_MXHOYV,ID_XGHA96QN
0,2,2,1,ID_0M8CGV,ID_XGHA96QN
0,2,2,1,ID_EEZYRA,ID_XGHA96QN
0,2,3,2,ID_Y2TCSN,ID_XGHA96QN
0,2,3,4,ID_0TSIAM,ID_XGHA96QN
0,3,5,5,ID_NMUNXW,ID_XGHA96QN
0,3,5,5,ID_VPG0ON,ID_XGHA96QN
0,3,5,5,ID_DMHGXE,ID_XGHA96QN
0,2,4,7,ID_FSJQA3,ID_XGHA96QN
0,2,4,4,ID_9F02JD,ID_XGHA96QN
0,2,5,1,ID_7T6IQD,ID_XGHA96QN
0,2,5,7,ID_DOLG1F,ID_XGHA96QN
0,2,5,1,ID_KJTGBE,ID_XGHA96QN
0,2,6,3,ID_S6KDM9,ID_XGHA96QN
0,2,6,7,ID_QWC4SP,ID_XGHA96QN
0,2,6,7,ID_T2VS6N,ID_XGHA96QN
0,2,8,7,ID_VNWS6C,ID_XGHA96QN
0,2,8,1,ID_BDT7QE,ID_XGHA96QN
0,2,8,1,ID_1SK9TA,ID_XGHA96QN
0,2,8,4,ID_AWNF0Q,ID_XGHA96QN
0,2,9,7,ID_SQIYHJ,ID_XGHA96QN
0,2,9,3,ID_K9VTHW,ID_XGHA96QN
0,2,9,1,ID_MHH3RH,ID_XGHA96QN
0,2,10,3,ID_744E30,ID_XGHA96QN
0,2,10,3,ID_S29QJ3,ID_XGHA96QN
0,2,10,5,ID_M8G261,ID_XGHA96QN
0,2,10,5,ID_Q7YP48,ID_XGHA96QN
0,2,10,5,ID_CBKFTC,ID_XGHA96QN
0,2,10,5,ID_PP4HBA,ID_XGHA96QN
0,2,10,7,ID_7GAENY,ID_XGHA96QN
0,2,11,4,ID_H0DZW0,ID_XGHA96QN
0,2,11,1,ID_KGGJ9Z,ID_XGHA96QN
0,2,11,3,ID_C21NMP,ID_XGHA96QN
0,2,11,4,ID_0NS6PM,ID_XGHA96QN
0,2,11,4,ID_8F492L,ID_XGHA96QN
0,2,11,4,ID_KSODXL,ID_XGHA96QN
0,2,11,7,ID_885STB,ID_XGHA96QN
0,2,11,1,ID_GPHHU4,ID_XGHA96QN
0,2,11,1,ID_0V829I,ID_XGHA96QN
0,2,11,2,ID_HC5I2P,ID_XGHA96QN
0,2,11,2,ID_MGLX62,ID_XGHA96QN
0,2,12,5,ID_EAFG6G,ID_XGHA96QN
0,2,12,1,ID_AJ0KON,ID_XGHA96QN
0,2,12,3,ID_05YAAV,ID_XGHA96QN
0,2,12,1,ID_W41X8C,ID_XGHA96QN
0,2,12,2,ID_Q4SITD,ID_XGHA96QN
0,3,1,7,ID_H8E2P3,ID_XGHA96QN
0,3,1,2,ID_WGA4Z3,ID_XGHA96QN
0,3,1,2,ID_2BYPKB,ID_XGHA96QN
0,3,1,3,ID_TISWRD,ID_XGHA96QN
0,3,1,3,ID_CPZP29,ID_XGHA96QN
0,3,1,3,ID_YGMVIP,ID_XGHA96QN
0,3,1,4,ID_S0C1T8,ID_XGHA96QN
0,3,1,4,ID_DM5DPB,ID_XGHA96QN
0,3,1,4,ID_2UTXSI,ID_XGHA96QN
0,3,1,1,ID_PEC6BT,ID_XGHA96QN
0,3,5,4,ID_STG9R4,ID_XGHA96QN
0,3,5,5,ID_MEBXUH,ID_XGHA96QN
0,3,2,7,ID_1G5WNS,ID_XGHA96QN
0,3,2,4,ID_S2DW8A,ID_XGHA96QN
0,3,5,5,ID_762ZEG,ID_XGHA96QN
0,3,2,3,ID_D0TYM3,ID_XGHA96QN
0,3,2,4,ID_EI7YXI,ID_XGHA96QN
0,3,6,2,ID_Q80H8G,ID_XGHA96QN
0,3,6,3,ID_K3CVE1,ID_XGHA96QN
0,3,7,3,ID_DGI64T,ID_XGHA96QN
0,3,7,3,ID_D5J3SO,ID_XGHA96QN
0,3,7,4,ID_PP0NHM,ID_XGHA96QN
0,1,8,2,ID_4BKE1N,ID_XGHA96QN
0,3,7,4,ID_SCXAU3,ID_XGHA96QN
1,3,1,3,ID_Z0AC0G,ID_XGHA96QN
0,3,2,1,ID_SOS9IP,ID_XGHA96QN
0,3,1,1,ID_IZ9BPP,ID_XGHA96QN
0,3,2,1,ID_3VCW9A,ID_XGHA96QN
0,3,8,7,ID_TYYK31,ID_XGHA96QN
0,3,8,1,ID_FSGDDV,ID_XGHA96QN
0,2,10,4,ID_CIXV6Y,ID_XGHA96QN
0,3,2,2,ID_WCWRBF,ID_XGHA96QN
0,2,5,5,ID_5WRF6G,ID_XGHA96QN
0,2,10,3,ID_MAKEOD,ID_XGHA96QN
0,2,10,5,ID_WONJJG,ID_XGHA96QN
0,2,10,5,ID_DIJ41I,ID_XGHA96QN
0,2,5,1,ID_M39ALK,ID_XGHA96QN
0,2,11,3,ID_P4NJOJ,ID_XGHA96QN
0,2,6,2,ID_H9Y1TC,ID_XGHA96QN
0,3,2,3,ID_QDMA5A,ID_XGHA96QN
0,3,4,4,ID_YEMGN5,ID_XGHA96QN
0,3,2,3,ID_FMGDZV,ID_XGHA96QN
0,2,6,4,ID_XH7FRL,ID_XGHA96QN
0,2,10,5,ID_RO8L17,ID_XGHA96QN
0,2,10,1,ID_S5H514,ID_XGHA96QN
0,2,10,5,ID_NNUL10,ID_XGHA96QN
0,2,10,4,ID_90QZAN,ID_XGHA96QN
0,2,10,4,ID_8E84ZY,ID_XGHA96QN
0,3,2,3,ID_XGHXFL,ID_XGHA96QN
0,3,1,7,ID_JBQLW3,ID_XGHA96QN
0,3,1,6,ID_FMYXTN,ID_XGHA96QN
0,2,11,3,ID_Z6908S,ID_XGHA96QN
0,2,11,5,ID_OG5010,ID_XGHA96QN
0,2,9,1,ID_SEGQ2P,ID_XGHA96QN
0,2,12,4,ID_OOXAN1,ID_XGHA96QN
0,2,12,4,ID_LD8IMU,ID_XGHA96QN
0,3,1,2,ID_K9BBXT,ID_XGHA96QN
0,2,10,5,ID_T8BPOT,ID_XGHA96QN
0,2,11,2,ID_0IRZJ2,ID_XGHA96QN
0,2,11,2,ID_I6GMVX,ID_XGHA96QN
0,3,10,5,ID_OKPJCW,ID_XGHA96QN
0,2,1,1,ID_GUX6DS,ID_XGHA96QN
0,2,9,3,ID_6JY9TA,ID_XGHA96QN
0,1,5,2,ID_6JUS85,ID_XGHA96QN
0,1,5,5,ID_SGH105,ID_XGHA96QN
0,3,9,2,ID_D5W5LE,ID_XGHA96QN
0,2,2,1,ID_RC8KMQ,ID_XGHA96QN
0,2,3,4,ID_2IH02P,ID_XGHA96QN
0,2,4,2,ID_07BW5G,ID_XGHA96QN
0,3,9,3,ID_5VFZ9U,ID_XGHA96QN
0,2,4,7,ID_LMCRNR,ID_XGHA96QN
0,2,4,3,ID_OJCMX5,ID_XGHA96QN
