CompID,UserID,PublicRank,Successful Submission Count,CompPartCreated Year,CompPartCreated Month,CompPartCreated Day_of_week
ID_MPSN,ID_0AS0ONZN,,,3,1,7
ID_ON5E,ID_0AS0ONZN,,,3,9,4
ID_F53H,ID_0AS0ONZN,,,3,1,7
ID_4DT4,ID_0AS0ONZN,,,3,11,2
ID_GTIV,ID_0AS0ONZN,rank 11,count 8,3,12,6
ID_O4PY,ID_0AS0ONZN,,,3,2,3
ID_SAZ4,ID_0AS0ONZN,rank 11,count 6,3,6,6
ID_R5HL,ID_0AS0ONZN,rank 2,count 10,3,11,5
ID_G370,ID_0AS0ONZN,,,3,12,1
ID_Y6XI,ID_0AS0ONZN,,,3,12,7
ID_G7A4,ID_0AS0ONZN,,,3,10,5
ID_GQCR,ID_0AS0ONZN,,,3,10,5
ID_ZSZR,ID_0AS0ONZN,,,3,2,1
ID_FAR8,ID_0AS0ONZN,,,3,4,5
ID_XYJZ,ID_0AS0ONZN,rank 11,count 10,3,7,5
ID_WMUF,ID_QM4DJO2N,,,3,1,4
ID_WMUF,ID_CC0PN184,rank 11,count 10,3,1,4
ID_7MLO,ID_CC0PN184,rank 11,count 10,2,10,5
ID_1E58,ID_CC0PN184,,,3,9,7
ID_2KEY,ID_CC0PN184,,,2,10,3
ID_QXRY,ID_CC0PN184,,,2,10,6
ID_IV8G,ID_CC0PN184,,,3,3,3
ID_50DK,ID_CC0PN184,,count 10,2,11,4
ID_LMFN,ID_CC0PN184,,,2,4,5
ID_MPSN,ID_CC0PN184,rank 11,count 6,2,4,3
ID_J66M,ID_CC0PN184,,,3,11,6
ID_AWEI,ID_CC0PN184,rank 7,count 10,2,4,2
ID_TYYF,ID_CC0PN184,,,2,11,3
ID_ABBZ,ID_CC0PN184,rank 11,count 10,3,6,2
ID_ON5E,ID_CC0PN184,rank 11,count 10,3,9,4
ID_G7MQ,ID_CC0PN184,,count 10,3,3,3
ID_P8IG,ID_CC0PN184,rank 10,count 10,3,10,1
ID_F53H,ID_CC0PN184,rank 7,count 10,2,12,7
ID_FBDX,ID_CC0PN184,,,2,12,4
ID_KG1B,ID_CC0PN184,rank 11,count 10,2,12,5
ID_8WX8,ID_CC0PN184,,,2,12,4
ID_N932,ID_CC0PN184,,count 6,2,12,4
ID_D42Y,ID_CC0PN184,,,2,4,3
ID_F7X4,ID_CC0PN184,,,2,11,3
ID_GCU7,ID_CC0PN184,rank 6,count 10,2,10,4
ID_4DT4,ID_CC0PN184,,,3,7,6
ID_GTIV,ID_CC0PN184,rank 1,count 10,3,11,1
ID_H4L8,ID_CC0PN184,,count 6,2,10,4
ID_DKSX,ID_CC0PN184,,,2,10,3
ID_3JA7,ID_CC0PN184,,,2,11,1
ID_1CBJ,ID_CC0PN184,,,2,4,1
ID_U1HE,ID_CC0PN184,rank 10,count 3,2,10,3
ID_R5HL,ID_CC0PN184,,count 5,3,11,3
ID_HJ9S,ID_CC0PN184,,,2,12,4
ID_VNN1,ID_CC0PN184,,count 10,2,10,2
ID_1INW,ID_CC0PN184,,,1,12,5
ID_AXVN,ID_CC0PN184,rank 10,count 10,2,6,7
ID_VS6D,ID_CC0PN184,,,3,6,5
ID_Y6XI,ID_CC0PN184,rank 11,count 7,3,12,6
ID_8PEN,ID_CC0PN184,rank 1,count 9,2,11,4
ID_G7A4,ID_CC0PN184,rank 11,count 9,3,10,5
ID_VAQG,ID_CC0PN184,rank 11,count 8,3,2,2
ID_UBMS,ID_CC0PN184,rank 1,count 10,2,11,4
ID_XWMG,ID_CC0PN184,,,2,12,4
ID_T638,ID_CC0PN184,rank 4,count 10,2,3,3
ID_IAYS,ID_CC0PN184,rank 11,count 9,2,11,4
ID_ZSZR,ID_CC0PN184,,,3,2,3
ID_QY5J,ID_CC0PN184,rank 11,count 8,3,1,2
ID_XYJZ,ID_CC0PN184,rank 11,count 9,3,7,5
ID_WMUF,ID_B1G5UJ4B,,count 10,3,1,4
ID_81JW,ID_B1G5UJ4B,,,3,1,3
ID_WMUF,ID_LHOIV3X2,rank 11,count 8,3,1,4
ID_F53H,ID_LHOIV3X2,rank 3,count 10,3,2,2
ID_XYJZ,ID_LHOIV3X2,rank 11,count 10,3,7,6
ID_WMUF,ID_AN3ZASAX,,,3,1,4
ID_50DK,ID_AN3ZASAX,,,2,11,5
ID_AWEI,ID_AN3ZASAX,,,2,12,5
ID_KG1B,ID_AN3ZASAX,rank 11,count 10,2,12,5
ID_1CBJ,ID_AN3ZASAX,,,2,4,2
ID_UBMS,ID_AN3ZASAX,,,2,11,5
ID_UBMS,ID_AN3ZASAX,,count 10,2,11,5
ID_UBMS,ID_AN3ZASAX,,,2,11,5
ID_IAYS,ID_AN3ZASAX,rank 1,count 6,2,11,4
ID_WMUF,ID_GCFA3F72,rank 11,count 6,3,1,4
ID_1E58,ID_GCFA3F72,rank 2,count 9,3,8,5
ID_JYR6,ID_GCFA3F72,,,2,9,3
ID_V5M1,ID_GCFA3F72,rank 1,count 10,2,7,6
ID_2KEY,ID_GCFA3F72,,,2,5,4
ID_QXRY,ID_GCFA3F72,,,2,11,2
ID_ZBPQ,ID_GCFA3F72,,,3,9,5
ID_GOXL,ID_GCFA3F72,rank 11,count 10,3,1,1
ID_SW6X,ID_GCFA3F72,,,3,9,3
ID_MPSN,ID_GCFA3F72,,,3,1,1
ID_J66M,ID_GCFA3F72,,,3,2,7
ID_AWEI,ID_GCFA3F72,rank 10,count 6,2,4,4
ID_ON5E,ID_GCFA3F72,rank 11,count 10,3,9,3
ID_88GO,ID_GCFA3F72,rank 11,count 10,3,1,1
ID_F53H,ID_GCFA3F72,rank 3,count 8,3,1,1
ID_E1LI,ID_GCFA3F72,,,3,9,4
ID_D42Y,ID_GCFA3F72,rank 11,count 10,2,6,6
ID_4DT4,ID_GCFA3F72,,,3,7,2
ID_GTIV,ID_GCFA3F72,rank 1,count 9,3,12,2
ID_H4L8,ID_GCFA3F72,rank 9,count 5,2,7,7
ID_F0B5,ID_GCFA3F72,rank 1,count 10,3,9,5
ID_1CBJ,ID_GCFA3F72,,count 10,2,4,4
ID_3G07,ID_GCFA3F72,,,2,9,3
ID_U1HE,ID_GCFA3F72,rank 8,count 6,2,11,2
ID_R5HL,ID_GCFA3F72,rank 3,count 6,3,12,2
ID_G370,ID_GCFA3F72,rank 11,count 7,3,12,2
ID_G31W,ID_GCFA3F72,,,2,8,5
ID_AXVN,ID_GCFA3F72,rank 10,count 8,2,7,6
ID_VS6D,ID_GCFA3F72,rank 2,count 7,3,7,2
ID_Y6XI,ID_GCFA3F72,rank 10,count 6,3,12,2
ID_664W,ID_GCFA3F72,,,3,8,5
ID_XWMG,ID_GCFA3F72,,,3,1,1
ID_IAYS,ID_GCFA3F72,,,2,11,5
ID_3HST,ID_GCFA3F72,,,3,8,5
ID_WMUF,ID_B0QKGVBZ,rank 11,count 10,3,1,4
ID_7MLO,ID_B0QKGVBZ,,,2,10,3
ID_QCN2,ID_B0QKGVBZ,,count 10,3,1,2
ID_1E58,ID_B0QKGVBZ,,count 10,3,9,3
ID_JYR6,ID_B0QKGVBZ,rank 1,count 6,2,8,4
ID_ZBPQ,ID_B0QKGVBZ,rank 11,count 10,3,2,1
ID_50DK,ID_B0QKGVBZ,,count 9,2,11,4
ID_SV8O,ID_B0QKGVBZ,,,2,10,3
ID_SW6X,ID_B0QKGVBZ,,,3,9,3
ID_GI2A,ID_B0QKGVBZ,,,3,5,4
ID_AWEI,ID_B0QKGVBZ,,,2,12,5
ID_ABBZ,ID_B0QKGVBZ,rank 1,count 6,3,3,2
ID_ON5E,ID_B0QKGVBZ,rank 11,count 8,3,9,3
ID_F53H,ID_B0QKGVBZ,rank 11,count 5,2,11,1
ID_FBDX,ID_B0QKGVBZ,rank 11,count 10,2,12,4
ID_KG1B,ID_B0QKGVBZ,rank 11,count 6,2,12,5
ID_N932,ID_B0QKGVBZ,,count 8,2,12,4
ID_H4L8,ID_B0QKGVBZ,,count 10,2,11,7
ID_D0T1,ID_B0QKGVBZ,,,3,5,1
ID_F0B5,ID_B0QKGVBZ,,,3,6,2
ID_3G07,ID_B0QKGVBZ,,,2,10,5
ID_HZ45,ID_B0QKGVBZ,rank 11,count 10,3,10,3
ID_U1HE,ID_B0QKGVBZ,rank 11,count 10,2,12,5
ID_G31W,ID_B0QKGVBZ,,count 10,2,12,5
ID_VK18,ID_B0QKGVBZ,,,3,4,7
ID_HTKR,ID_B0QKGVBZ,rank 11,count 10,3,2,6
ID_OBP1,ID_B0QKGVBZ,rank 2,count 10,3,3,5
ID_VS6D,ID_B0QKGVBZ,rank 1,count 10,3,9,6
ID_RSV3,ID_B0QKGVBZ,,,3,2,5
ID_VDSL,ID_B0QKGVBZ,rank 11,count 10,2,12,5
ID_8PEN,ID_B0QKGVBZ,rank 1,count 3,2,11,4
ID_664W,ID_B0QKGVBZ,,,3,9,2
ID_UBMS,ID_B0QKGVBZ,rank 1,count 8,2,11,4
ID_XWMG,ID_B0QKGVBZ,rank 2,count 10,2,12,4
ID_IAYS,ID_B0QKGVBZ,rank 1,count 4,2,11,4
ID_0HHR,ID_B0QKGVBZ,rank 1,count 10,3,3,6
ID_ZSZR,ID_B0QKGVBZ,rank 10,count 10,3,2,5
ID_WMUF,ID_XGHA96QN,,count 10,3,1,2
ID_7MLO,ID_XGHA96QN,,count 10,2,10,4
ID_QCN2,ID_XGHA96QN,,,3,1,2
ID_1E58,ID_XGHA96QN,,count 10,3,8,4
ID_JYR6,ID_XGHA96QN,,,2,8,2
ID_V5M1,ID_XGHA96QN,,,2,6,4
ID_2KEY,ID_XGHA96QN,,count 10,2,5,5
ID_QXRY,ID_XGHA96QN,,count 10,2,10,4
ID_IV8G,ID_XGHA96QN,,,1,12,7
ID_ZBPQ,ID_XGHA96QN,,,3,1,1
ID_UWCU,ID_XGHA96QN,,,1,12,7
ID_CEI6,ID_XGHA96QN,,count 10,3,1,4
ID_0G47,ID_XGHA96QN,,count 10,3,4,3
ID_WGZ2,ID_XGHA96QN,,count 10,1,8,7
ID_GOXL,ID_XGHA96QN,,count 10,3,1,4
ID_50DK,ID_XGHA96QN,,,2,11,4
ID_SV8O,ID_XGHA96QN,,,2,10,2
ID_R4NQ,ID_XGHA96QN,,count 10,3,10,3
ID_JIF0,ID_XGHA96QN,,,3,10,3
ID_I5BX,ID_XGHA96QN,,,3,12,1
ID_WIA6,ID_XGHA96QN,,,3,9,7
ID_SW6X,ID_XGHA96QN,,count 10,3,9,1
ID_LMFN,ID_XGHA96QN,,,1,12,7
ID_81JW,ID_XGHA96QN,,,2,7,3
ID_GI2A,ID_XGHA96QN,,count 10,3,5,2
ID_IUTP,ID_XGHA96QN,,,2,4,4
ID_MPSN,ID_XGHA96QN,,count 10,2,2,1
ID_J66M,ID_XGHA96QN,,count 10,3,3,2
ID_AWEI,ID_XGHA96QN,,,2,3,4
ID_TYYF,ID_XGHA96QN,,,2,11,3
ID_ABBZ,ID_XGHA96QN,,count 10,3,3,6
ID_ON5E,ID_XGHA96QN,,count 10,3,9,2
ID_QQTZ,ID_XGHA96QN,,,1,12,7
ID_G7MQ,ID_XGHA96QN,,,3,3,1
ID_YZ4I,ID_XGHA96QN,,,1,10,7
ID_C59X,ID_XGHA96QN,,,3,3,4
ID_SNXY,ID_XGHA96QN,,,3,10,4
ID_P8IG,ID_XGHA96QN,,count 10,2,4,4
ID_88GO,ID_XGHA96QN,,,3,1,7
ID_F53H,ID_XGHA96QN,,count 10,2,11,7
ID_FBDX,ID_XGHA96QN,,count 10,2,12,4
ID_KG1B,ID_XGHA96QN,,,2,11,2
ID_MICX,ID_XGHA96QN,,,3,4,2
ID_DJJ7,ID_XGHA96QN,,,2,1,4
ID_PH4H,ID_XGHA96QN,,count 10,3,5,4
ID_8WX8,ID_XGHA96QN,,count 10,2,12,4
ID_N932,ID_XGHA96QN,,count 10,2,12,4
ID_E1LI,ID_XGHA96QN,rank 11,count 10,3,2,4
ID_I52W,ID_XGHA96QN,,,3,1,2
ID_D42Y,ID_XGHA96QN,,count 10,2,4,1
ID_W0EJ,ID_XGHA96QN,,,2,12,2
ID_SIY6,ID_XGHA96QN,,,2,3,6
ID_BWI3,ID_XGHA96QN,,,3,6,4
ID_GCU7,ID_XGHA96QN,,,2,6,4
ID_AB95,ID_XGHA96QN,,,3,12,4
ID_4DT4,ID_XGHA96QN,,count 6,3,4,7
ID_GTIV,ID_XGHA96QN,,count 10,3,11,4
ID_H4L8,ID_XGHA96QN,,count 9,2,7,7
ID_ASHZ,ID_XGHA96QN,,,3,11,2
ID_O4PY,ID_XGHA96QN,,count 10,3,2,4
ID_C748,ID_XGHA96QN,,count 10,3,6,7
ID_3XEN,ID_XGHA96QN,rank 11,count 10,3,4,7
ID_UIC7,ID_XGHA96QN,,,1,12,7
ID_DKSX,ID_XGHA96QN,,,2,10,2
ID_3JA7,ID_XGHA96QN,,,2,4,7
ID_TL9O,ID_XGHA96QN,,,2,5,4
ID_D0T1,ID_XGHA96QN,,count 10,2,6,4
ID_F0B5,ID_XGHA96QN,,count 10,3,6,2
ID_1CBJ,ID_XGHA96QN,,count 10,2,2,7
ID_Y5IP,ID_XGHA96QN,rank 11,count 10,3,4,7
ID_4QHA,ID_XGHA96QN,,count 10,3,2,4
ID_CKLY,ID_XGHA96QN,,count 10,3,7,4
ID_3G07,ID_XGHA96QN,,count 10,2,9,1
ID_85VQ,ID_XGHA96QN,,,2,12,3
ID_LQ4P,ID_XGHA96QN,,count 10,3,11,3
ID_58T1,ID_XGHA96QN,,count 10,3,1,4
ID_FJ9G,ID_XGHA96QN,,count 10,3,1,4
ID_HZ45,ID_XGHA96QN,,count 10,3,10,3
ID_VEAR,ID_XGHA96QN,,,3,7,5
ID_MFQV,ID_XGHA96QN,,count 10,3,4,4
ID_U1HE,ID_XGHA96QN,,count 10,2,10,3
ID_R5HL,ID_XGHA96QN,,count 10,3,10,4
ID_Z5QP,ID_XGHA96QN,,count 10,3,6,3
ID_HJ9S,ID_XGHA96QN,,,2,4,4
ID_G370,ID_XGHA96QN,,count 10,3,12,1
ID_VNN1,ID_XGHA96QN,,,2,4,4
ID_TLNA,ID_XGHA96QN,,,3,6,3
ID_G31W,ID_XGHA96QN,,,2,8,1
ID_GFDE,ID_XGHA96QN,,,3,3,1
ID_VK18,ID_XGHA96QN,,count 10,3,4,4
ID_1INW,ID_XGHA96QN,,,1,11,3
ID_AXVN,ID_XGHA96QN,,count 10,2,6,7
ID_09D8,ID_XGHA96QN,,,3,4,7
ID_HTKR,ID_XGHA96QN,,count 10,3,2,3
ID_OBP1,ID_XGHA96QN,,count 10,3,3,4
ID_BT9Z,ID_XGHA96QN,,,1,7,5
ID_VS6D,ID_XGHA96QN,,count 10,3,6,4
ID_RSV3,ID_XGHA96QN,,,2,4,4
ID_PWC6,ID_XGHA96QN,,,3,1,4
ID_VDSL,ID_XGHA96QN,,,2,12,4
ID_Y6XI,ID_XGHA96QN,,count 6,3,12,7
ID_8PEN,ID_XGHA96QN,,,2,11,4
ID_G7A4,ID_XGHA96QN,,count 10,3,10,3
ID_OJUX,ID_XGHA96QN,,,3,3,1
ID_GQCR,ID_XGHA96QN,,count 10,3,10,4
ID_VAQG,ID_XGHA96QN,,,3,2,2
ID_664W,ID_XGHA96QN,,count 10,3,7,7
ID_UBMS,ID_XGHA96QN,,count 10,2,11,4
ID_XWMG,ID_XGHA96QN,,count 10,2,12,4
ID_T638,ID_XGHA96QN,,count 6,1,12,7
ID_TIK1,ID_XGHA96QN,,,3,1,7
ID_IAYS,ID_XGHA96QN,,,2,11,4
ID_0HHR,ID_XGHA96QN,,count 10,3,2,7
ID_ZSZR,ID_XGHA96QN,,count 10,3,2,3
ID_3HST,ID_XGHA96QN,,count 10,3,7,7
ID_QY5J,ID_XGHA96QN,,,3,1,1
ID_FAR8,ID_XGHA96QN,,,3,4,5
ID_WMUF,ID_IENFBO1G,,,3,1,2
ID_JYR6,ID_IENFBO1G,,,2,9,2
ID_2KEY,ID_IENFBO1G,rank 1,count 10,2,8,2
ID_QXRY,ID_IENFBO1G,,,2,10,1
ID_IV8G,ID_IENFBO1G,,,3,3,3
ID_WGZ2,ID_IENFBO1G,,,2,5,1
ID_MPSN,ID_IENFBO1G,rank 11,count 6,2,5,2
ID_ON5E,ID_IENFBO1G,rank 11,count 10,3,9,2
ID_G7MQ,ID_IENFBO1G,,,3,3,3
ID_F53H,ID_IENFBO1G,rank 9,count 10,2,12,5
ID_N932,ID_IENFBO1G,rank 1,count 6,2,12,6
ID_D42Y,ID_IENFBO1G,rank 11,count 9,2,4,1
ID_SIY6,ID_IENFBO1G,rank 11,count 10,2,3,1
ID_GCU7,ID_IENFBO1G,rank 8,count 6,2,6,7
ID_H4L8,ID_IENFBO1G,,,2,7,1
ID_D0T1,ID_IENFBO1G,,count 10,2,8,4
ID_HJ9S,ID_IENFBO1G,,,2,6,7
ID_VNN1,ID_IENFBO1G,,,2,5,2
ID_1INW,ID_IENFBO1G,rank 10,count 6,1,10,1
ID_HTKR,ID_IENFBO1G,rank 11,count 10,3,2,6
ID_BT9Z,ID_IENFBO1G,,,1,5,5
ID_VS6D,ID_IENFBO1G,rank 9,count 10,3,6,5
ID_T638,ID_IENFBO1G,,count 10,1,12,1
ID_XYJZ,ID_IENFBO1G,,,3,7,4
ID_WMUF,ID_1EP7SCKL,rank 11,count 8,3,1,6
ID_1E58,ID_1EP7SCKL,,,3,8,3
ID_QXRY,ID_1EP7SCKL,,,2,11,3
ID_IV8G,ID_1EP7SCKL,,,1,11,5
ID_50DK,ID_1EP7SCKL,rank 10,count 10,2,11,4
ID_QQTZ,ID_1EP7SCKL,,,1,6,5
ID_YZ4I,ID_1EP7SCKL,,,1,7,3
ID_92VT,ID_1EP7SCKL,,,1,4,3
ID_F53H,ID_1EP7SCKL,rank 11,count 9,3,1,6
ID_UIC7,ID_1EP7SCKL,,,1,10,5
ID_G31W,ID_1EP7SCKL,,,2,11,3
ID_1INW,ID_1EP7SCKL,rank 1,count 9,1,10,1
ID_BT9Z,ID_1EP7SCKL,,,1,4,6
ID_VS6D,ID_1EP7SCKL,rank 2,count 10,3,10,3
ID_T638,ID_1EP7SCKL,,,1,12,7
ID_WMUF,ID_RY0UMPTA,rank 11,count 10,3,1,6
ID_WGZ2,ID_RY0UMPTA,,,2,3,2
ID_MPSN,ID_RY0UMPTA,,,2,3,2
ID_YZ4I,ID_RY0UMPTA,,,3,4,1
ID_D42Y,ID_RY0UMPTA,,,3,4,1
ID_GCU7,ID_RY0UMPTA,,,3,4,1
ID_1CBJ,ID_RY0UMPTA,,,2,3,3
ID_VK18,ID_RY0UMPTA,rank 10,count 10,3,5,3
ID_1INW,ID_RY0UMPTA,rank 1,count 10,1,10,1
ID_HTKR,ID_RY0UMPTA,,,3,2,7
ID_T638,ID_RY0UMPTA,,,2,3,2
ID_ZSZR,ID_RY0UMPTA,,,3,4,1
ID_WMUF,ID_FPA1CPBK,rank 11,count 6,3,1,4
ID_QCN2,ID_FPA1CPBK,,,3,1,2
ID_QXRY,ID_FPA1CPBK,rank 11,count 10,2,11,6
ID_SV8O,ID_FPA1CPBK,,,2,10,4
ID_WIA6,ID_FPA1CPBK,,,3,8,3
ID_81JW,ID_FPA1CPBK,,count 10,2,10,2
ID_TYYF,ID_FPA1CPBK,,,2,11,6
ID_ON5E,ID_FPA1CPBK,rank 11,count 6,3,9,4
ID_F53H,ID_FPA1CPBK,,,2,12,1
ID_FBDX,ID_FPA1CPBK,rank 11,count 10,2,12,4
ID_8WX8,ID_FPA1CPBK,rank 11,count 4,2,12,4
ID_N932,ID_FPA1CPBK,rank 10,count 9,2,12,4
ID_4DT4,ID_FPA1CPBK,,,3,5,7
ID_H4L8,ID_FPA1CPBK,rank 1,count 3,2,11,3
ID_F0B5,ID_FPA1CPBK,,,3,8,7
ID_U1HE,ID_FPA1CPBK,rank 1,count 5,2,11,6
ID_R5HL,ID_FPA1CPBK,rank 4,count 10,3,11,1
ID_8PEN,ID_FPA1CPBK,rank 10,count 9,2,11,4
ID_UBMS,ID_FPA1CPBK,rank 11,count 10,2,11,4
ID_XWMG,ID_FPA1CPBK,,,2,12,4
ID_IAYS,ID_FPA1CPBK,rank 10,count 6,2,11,4
ID_XYJZ,ID_FPA1CPBK,rank 11,count 4,3,7,5
ID_WMUF,ID_JKXROPGM,rank 11,count 10,3,1,4
ID_7MLO,ID_JKXROPGM,,,2,10,4
ID_1E58,ID_JKXROPGM,rank 8,count 10,3,10,2
ID_JYR6,ID_JKXROPGM,,,2,10,7
ID_2KEY,ID_JKXROPGM,,,2,6,5
ID_QXRY,ID_JKXROPGM,,count 10,2,10,5
ID_50DK,ID_JKXROPGM,,,2,11,4
ID_MPSN,ID_JKXROPGM,rank 9,count 10,2,10,2
ID_AWEI,ID_JKXROPGM,,,2,12,4
ID_TYYF,ID_JKXROPGM,,,2,11,3
ID_ON5E,ID_JKXROPGM,rank 11,count 6,3,9,4
ID_SNXY,ID_JKXROPGM,,,3,10,1
ID_F53H,ID_JKXROPGM,rank 6,count 10,3,1,6
ID_KG1B,ID_JKXROPGM,rank 11,count 10,2,12,4
ID_8WX8,ID_JKXROPGM,rank 1,count 10,2,12,4
ID_N932,ID_JKXROPGM,,count 10,2,12,5
ID_GCU7,ID_JKXROPGM,,,2,11,4
ID_4DT4,ID_JKXROPGM,rank 9,count 10,3,6,4
ID_H4L8,ID_JKXROPGM,rank 9,count 8,2,10,5
ID_D0T1,ID_JKXROPGM,,,3,1,4
ID_U1HE,ID_JKXROPGM,rank 2,count 9,2,10,7
ID_R5HL,ID_JKXROPGM,,count 8,3,11,5
ID_G370,ID_JKXROPGM,rank 11,count 3,3,12,1
ID_TLNA,ID_JKXROPGM,,,3,8,4
ID_Y6XI,ID_JKXROPGM,rank 11,count 7,3,12,2
ID_8PEN,ID_JKXROPGM,rank 10,count 6,2,11,4
ID_GQCR,ID_JKXROPGM,rank 11,count 5,3,10,5
ID_XWMG,ID_JKXROPGM,,,3,1,2
ID_IAYS,ID_JKXROPGM,rank 10,count 10,2,11,4
ID_0HHR,ID_JKXROPGM,,,3,2,7
ID_3HST,ID_JKXROPGM,,,3,7,7
ID_XYJZ,ID_JKXROPGM,rank 11,count 8,3,7,6
ID_WMUF,ID_900GVP9V,,,3,1,4
ID_WMUF,ID_NTH6C4VD,,,3,1,4
ID_WMUF,ID_79IOL2XX,rank 11,count 10,3,1,4
ID_WMUF,ID_A73LXEQZ,,,3,1,4
ID_DJJ7,ID_A73LXEQZ,,,2,2,2
ID_D42Y,ID_A73LXEQZ,,,3,5,3
ID_1INW,ID_A73LXEQZ,rank 10,count 10,1,10,1
ID_OBP1,ID_A73LXEQZ,,,3,5,4
ID_WMUF,ID_SWEMWT7N,rank 11,count 6,3,1,4
ID_QCN2,ID_SWEMWT7N,,,3,1,2
ID_1E58,ID_SWEMWT7N,,count 9,3,8,2
ID_2KEY,ID_SWEMWT7N,,,2,5,6
ID_QXRY,ID_SWEMWT7N,rank 11,count 5,2,10,5
ID_50DK,ID_SWEMWT7N,,count 10,2,11,4
ID_SW6X,ID_SWEMWT7N,,,3,9,4
ID_GI2A,ID_SWEMWT7N,,,3,5,1
ID_AWEI,ID_SWEMWT7N,rank 11,count 3,2,3,5
ID_ON5E,ID_SWEMWT7N,rank 11,count 10,3,9,3
ID_SNXY,ID_SWEMWT7N,,,3,10,7
ID_F53H,ID_SWEMWT7N,rank 11,count 6,2,11,1
ID_KG1B,ID_SWEMWT7N,rank 11,count 6,2,11,2
ID_8WX8,ID_SWEMWT7N,,,2,12,4
ID_N932,ID_SWEMWT7N,,count 10,2,12,4
ID_4DT4,ID_SWEMWT7N,,,3,4,2
ID_H4L8,ID_SWEMWT7N,,count 3,2,7,1
